,,,,,,Wickets,Lost,,,,
1,60,61.3,56,52.6,50.1,46,40.8,36.1,30,18.6,7.9
2,59,60.73333333,55.38333333,51.81666667,49.43333333,45.41666667,40.3,35.6,29.71666667,18.45,7.783333333
3,58,60.16666667,54.76666667,51.03333333,48.76666667,44.83333333,39.8,35.1,29.43333333,18.3,7.666666667
4,57,59.6,54.15,50.25,48.1,44.25,39.3,34.6,29.15,18.15,7.55
5,56,59.03333333,53.53333333,49.46666667,47.43333333,43.66666667,38.8,34.1,28.86666667,18,7.433333333
6,55,58.46666667,52.91666667,48.68333333,46.76666667,43.08333333,38.3,33.6,28.58333333,17.85,7.316666667
1,54,57.9,52.3,47.9,46.1,42.5,37.8,33.1,28.3,17.7,7.2
2,53,57.25,51.63333333,47.3,45.36666667,41.9,37.31666667,32.61666667,27.93333333,17.53333333,7.1
3,52,56.6,50.96666667,46.7,44.63333333,41.3,36.83333333,32.13333333,27.56666667,17.36666667,7
4,51,55.95,50.3,46.1,43.9,40.7,36.35,31.65,27.2,17.2,6.9
5,50,55.3,49.63333333,45.5,43.16666667,40.1,35.86666667,31.16666667,26.83333333,17.03333333,6.8
6,49,54.65,48.96666667,44.9,42.43333333,39.5,35.38333333,30.68333333,26.46666667,16.86666667,6.7
1,48,54,48.3,44.3,41.7,38.9,34.9,30.2,26.1,16.7,6.6
2,47,53.21666667,47.61666667,43.61666667,40.98333333,38.31666667,34.43333333,29.7,25.65,16.53333333,6.483333333
3,46,52.43333333,46.93333333,42.93333333,40.26666667,37.73333333,33.96666667,29.2,25.2,16.36666667,6.366666667
4,45,51.65,46.25,42.25,39.55,37.15,33.5,28.7,24.75,16.2,6.25
5,44,50.86666667,45.56666667,41.56666667,38.83333333,36.56666667,33.03333333,28.2,24.3,16.03333333,6.133333333
6,43,50.08333333,44.88333333,40.88333333,38.11666667,35.98333333,32.56666667,27.7,23.85,15.86666667,6.016666667
1,42,49.3,44.2,40.2,37.4,35.4,32.1,27.2,23.4,15.7,5.9
2,41,48.03333333,43.25,39.45,36.66666667,34.78333333,31.58333333,26.7,22.83333333,15.5,5.783333333
3,40,46.76666667,42.3,38.7,35.93333333,34.16666667,31.06666667,26.2,22.26666667,15.3,5.666666667
4,39,45.5,41.35,37.95,35.2,33.55,30.55,25.7,21.7,15.1,5.55
5,38,44.23333333,40.4,37.2,34.46666667,32.93333333,30.03333333,25.2,21.13333333,14.9,5.433333333
6,37,42.96666667,39.45,36.45,33.73333333,32.31666667,29.51666667,24.7,20.56666667,14.7,5.316666667
1,36,41.7,38.5,35.7,33,31.7,29,24.2,20,14.5,5.2
2,35,40.78333333,37.65,34.91666667,32.26666667,30.96666667,28.41666667,23.75,19.5,14.11666667,5.066666667
3,34,39.86666667,36.8,34.13333333,31.53333333,30.23333333,27.83333333,23.3,19,13.73333333,4.933333333
4,33,38.95,35.95,33.35,30.8,29.5,27.25,22.85,18.5,13.35,4.8
5,32,38.03333333,35.1,32.56666667,30.06666667,28.76666667,26.66666667,22.4,18,12.96666667,4.666666667
6,31,37.11666667,34.25,31.78333333,29.33333333,28.03333333,26.08333333,21.95,17.5,12.58333333,4.533333333
